buy_month	sell_month	pints_purchased	expected_profit
2025-01-01	2025-02-01	217334	-192988.24531999993
2025-01-01	2025-03-01	212711	-291784.18713999994
2025-01-01	2025-04-01	208281	-297995.12481599994
2025-01-01	2025-05-01	204031	-363101.72883999994
2025-01-01	2025-06-01	199952	-421366.84767999995
2025-01-01	2025-07-01	196032	-439237.14048
2025-01-01	2025-08-01	192263	-401083.68956
2025-01-01	2025-09-01	188636	-386473.66407999996
2025-01-01	2025-10-01	185144	-352743.75456000003
2025-01-01	2025-11-01	181778	-279763.61311999994
2025-01-01	2025-12-01	178533	-228373.34347799994
2025-02-01	2025-03-01	236641	-212110.79393999994
2025-02-01	2025-04-01	231171	-220845.97845599995
2025-02-01	2025-05-01	225947	-294689.11527999997
2025-02-01	2025-06-01	220955	-360585.30269999994
2025-02-01	2025-07-01	216178	-381606.05272
2025-02-01	2025-08-01	211604	-340834.79488000006
2025-02-01	2025-09-01	207219	-326034.23022
2025-02-01	2025-10-01	203012	-290274.67808000004
2025-02-01	2025-11-01	198973	-211635.6417199999
2025-02-01	2025-12-01	195091	-156807.51270599992
2025-03-01	2025-04-01	263199	-112895.52626399991
2025-03-01	2025-05-01	256449	-199476.29015999992
2025-03-01	2025-06-01	250037	-276425.90497999993
2025-03-01	2025-07-01	243938	-302200.1519199999
2025-03-01	2025-08-01	238129	-258208.03728
2025-03-01	2025-09-01	232590	-243517.07820000002
2025-03-01	2025-10-01	227303	-205354.62232000002
2025-03-01	2025-11-01	222251	-119402.12723999989
2025-03-01	2025-12-01	217419	-60304.63835399988
2025-04-01	2025-05-01	260080	-188141.87199999992
2025-04-01	2025-06-01	253487	-266440.1856999999
2025-04-01	2025-07-01	247221	-292808.5524
2025-04-01	2025-08-01	241256	-248464.72927999997
2025-04-01	2025-09-01	235573	-233815.62542
2025-04-01	2025-10-01	230151	-195398.19900000005
2025-04-01	2025-11-01	224973	-108616.9643999999
2025-04-01	2025-12-01	220023	-49048.84729799989
2025-05-01	2025-06-01	280237	-189031.06597999996
2025-05-01	2025-07-01	272598	-220215.56831999996
2025-05-01	2025-08-01	265364	-173367.60848000002
2025-05-01	2025-09-01	258504	-159233.29392000003
2025-05-01	2025-10-01	251990	-119050.15560000004
2025-05-01	2025-11-01	245796	-26113.367039999917
2025-05-01	2025-12-01	239900	36856.79660000009
2025-06-01	2025-07-01	301622	-137189.75047999993
2025-06-01	2025-08-01	292791	-87930.99312
2025-06-01	2025-09-01	284462	-74807.81676
2025-06-01	2025-10-01	276594	-33036.38736000003
2025-06-01	2025-11-01	269150	66415.45400000014
2025-06-01	2025-12-01	262095	132786.23823000013
2025-07-01	2025-08-01	305026	-49816.84632000001
2025-07-01	2025-09-01	295998	-37289.82804000001
2025-07-01	2025-10-01	287488	5048.289279999942
2025-07-01	2025-11-01	279454	107243.26704000012
2025-07-01	2025-12-01	271857	174976.40833800012
2025-08-01	2025-09-01	280804	-86706.65911999998
2025-08-01	2025-10-01	273134	-45132.66216000003
2025-08-01	2025-11-01	265872	53429.63712000012
2025-08-01	2025-12-01	258986	119349.55432400013
2025-09-01	2025-10-01	269265	-58656.68760000005
2025-09-01	2025-11-01	262205	38900.73380000011
2025-09-01	2025-12-01	255506	104306.23640400011
2025-10-01	2025-11-01	250978	-5581.750719999877
2025-10-01	2025-12-01	244834	58180.88275600012
2025-11-01	2025-12-01	222103	-40059.829697999936
